,Name,Location,Job Title
0,Atavas,"Burleson, Texas",Senior Software Developer/IT Software Engineer
1,"Magic Leap, Inc.","Austin, Texas",Sr. Software Engineer (Developer Tools) - TX
2,Exigo Office,"Garland, Texas",Full Stack .Net Developer
3,HonHai / Foxconn,"Houston, Texas","IT Systems Analyst, Software Engineer, Web Developer"
4,Poetic Systems,"Houston, Texas",App Developer (junior to mid-level)
5,Wikibuy,"Austin, Texas",Senior Backend Developer
6,Blackstone Semo,"Richardson, Texas",Sr. Data warehouse developer
7,Empyrean Benefit Solutions,"Houston, Texas",Systems Developer - Software Engineer - C#
8,KPMG US,"Dallas, Texas",Developer Software Engineer Consultant
9,Getfused,"Grapevine, Texas",Web Developer
10,83bar,"Leander, Texas",Content Developer
11,EHO,"Belton, Texas",COBOL Programmer/Web Developer
12,Experis,"El Paso, Texas",Developer / Programmer - Entry Level
13,Stefanini,"Rochelle, Texas",VBA Developer/Programmer
14,BubbleUp,"Houston, Texas",Magento Developer
15,AlienVault,"Austin, Texas",OTX Lead Developer (Senior Software Engineer)
16,Doist,"Austin, Texas",Front-end Web Developer
17,SHR (Sceptre Hospitality Resources),"Houston, Texas",Software Developer
18,Giact Systems LLC,"Allen, Texas",.Net Developer with Native Mobile App experience
19,Aetna,"Dallas, Texas",Programmer Developer - Aetna Medicaid Pharmacy Management
20,Texas Medical Center,"Houston, Texas",Applications & Report Developer
21,Capgemini,"Houston, Texas",Programmer/Developer Lead - ECM Documentum Developer
22,Brightwing,"Plano, Texas",Full Stack Developer
23,"Paymetric, Inc.","Austin, Texas",SOFTWARE DEVELOPER C#/.NET (WEB)
24,City of Dallas,"Dallas, Texas",AngularJS Developer (Programmer Analyst III)
25,City of Dallas,"Dallas, Texas",AngularJS Developer (Programmer Analyst III)
26,Pedigo Staffing Services,"Austin, Texas",PeopleSoft Programmer/Developer
27,"Insight Recruitment, LLC","Dallas, Texas",C# ERP Application Developer-Acumatica
28,Cervello Inc,"Dallas, Texas",Tableau Developer
29,"Technology Navigators, Inc.","Austin, Texas","Lead Software Developer - Mobile, Xamarin, C#"
30,"OnviSource, Inc.","Plano, Texas",Senior Web Developer
31,The University of Texas at Austin,"Austin, Texas",Senior Web Developer
32,Two95 International Inc.,"Dallas, Texas",SharePoint Developer
33,eclaro,"Houston, Texas",Senior Java Developer
34,"Pinnacle Group, Inc.","Houston, Texas",Full Stack Developer
35,Callaway Golf,"Austin, Texas",Front End Developer
36,Apex Capital Corp,"Garland, Texas",Java Developer
37,Lightbeam Health Solutions,"Irving, Texas",Bi Developer
38,TicketCity,"Austin, Texas",Developer Lead
39,The Marsden Group,"Houston, Texas",.Net Developer - Big Data / Cloud
40,Eateam,"Dallas, Texas",Sr.iOS developer(SWIFT)
41,USM,"Irving, Texas","Two different positions with the single client Java developer with AWS, Frontend UI Developer with React, AKKA, Play at Texas location."
42,Icon Information Consultants,"Houston, Texas",Web Methods Developer
43,Coder Camps,"Houston, Texas",JavaScript MEAN Stack Developer Instructor
44,"EPE Innovations LLC., Dallas, Texas","Garland, Texas",Sr. C# .NET Developer
45,Red Knight Solutions,"Richardson, Texas",Server-Side Java Developer
46,projekt202,"Garland, Texas",Senior .NET Developer
47,McDowell Label,"Plano, Texas",Software Developer / System Administrator
48,Orthofix,"The Colony, Texas",Oracle Developer Lead – Supply Chain
49,Engenium Staffing Inc,"San Antonio, Texas",Web/Database Developer
50,TransPerfect,"Dallas, Texas",Programmer/Software Developer - Entry Level
51,Targetbase,"Garland, Texas",Lead .Net Engineer / Developer
52,Fjord,"Austin, Texas",Senior Front End Developer - Austin
53,Odyssey Information Services,"Houston, Texas",Syteline Developer
54,PMG GLOBAL,"Dallas, Texas",Senior SOA (Java/J2EE) Developer
55,CPS Energy,"San Antonio, Texas",Middleware Integration Developer - eMeter System Administrator
56,Labatt Food Service,"San Antonio, Texas",Full Stack Software Developer
57,Aristocrat,"Austin, Texas","C++ Developer - Social Casino Gaming, Mobile & Web"
58,Lifesize,"Austin, Texas",Sr Software Developer-Communications
59,Federal Reserve Bank of Dallas,"Dallas, Texas",Java/J2EE Developer - Distributed Apps
60,Match.com,"Garland, Texas",Sr iOS Developer
61,Parsley Energy,"Austin, Texas",SQL/Report Developer
62,"RealPage, Inc.","Garland, Texas",Software Developer - TFS Developer
63,innoWake,"Austin, Texas","Java Developer, Object-Oriented Programming"
64,Everi Holdings Inc.,"Austin, Texas","Senior Software Developer- Game Engine (Austin, TX)"
65,Persistent Systems,"Irving, Texas",Chef Developer
66,Wipro,"Austin, Texas",Java Developer
67,Dun & Bradstreet,"Austin, Texas",Sr. Developer/Engineer
68,Aquent,"Dallas, Texas",Elearning Developer
69,"Value Global, LLC.","Garland, Texas",Hadoop Developer
70,Paladin Consulting,"Addison, Texas",UI CMS Developer
71,RxWiki,"Austin, Texas",Senior Software Developer
72,Macquarium,"Houston, Texas",PHP Developer
73,The Creative Group,"Dallas, Texas",Digital Designer/Developer
74,InMotion Software,"Austin, Texas","Full Stack Web Developer (React, Angular)"
75,Consultis Information Technology,"Houston, Texas",Lead PeopleSoft Developer
76,"Delphi-US, LLC","Houston, Texas",WebMethods Developer
77,Smith & Associates,"Houston, Texas",OBIEE Developer at PREDICTif Solutions
78,Q2ebanking,"Austin, Texas",Python Data Migration Analyst/Developer
79,Precision Task Group,"Austin, Texas",PeopleSoft Financial Technical Developer
80,TM Floyd & Company,"Dallas, Texas",ASP.NET Developer
81,Stellargy Services LLC,"Irving, Texas",Java Developer
82,Maxsys Solutions,"Garland, Texas",Application Support Developer
83,Code to the Future,"Dallas, Texas",EdTech Curriculum Developer
84,Diverse Lynx LLC,"Dallas, Texas",Mulesoft Developer
85,VirtusaPolaris,"Garland, Texas",iOS Developer/Lead
86,Compass Technology Group,"Plano, Texas",Delphi Developer
87,Bridge Partners Consulting,"Austin, Texas",Database Designer/Developer
88,Select Interactive,"Garland, Texas",Web Developer
89,Anderson Frank,"Fort Worth, Texas","NetSuite Developer - Fort Worth, TX - $90K-$110K"
90,Genuent,"Austin, Texas",Sr. Full Stack Java Developer Role
91,OutMatch HCM,"Garland, Texas",.NET Developer
92,Ally Technology,"Plano, Texas",OpenStack Python / Django Sr. Software Developer
93,"Management Controls, Inc.","Houston, Texas",Senior Software Developer
94,Intific,"Austin, Texas",Senior Front End Web Developer
95,North Shore Steel,"Houston, Texas",Software Developer
96,Continental Technology Solutions,"Dallas, Texas",Datastage Developer
97,Brooksource,"Austin, Texas",Web Developer
98,People's Trust Federal Credit Union,"Houston, Texas",SQL Developer
99,Mason Frank International,"Dallas, Texas",Salesforce Developer in Dallas!
100,Alchemy Systems,"Austin, Texas",Senior Full Stack Developer
101,"Dealertrack, Inc.","Dallas, Texas",Web Developer
102,TMX Finance,"Garland, Texas",Sr/Lead Java Software Developer
103,KUBRA,"Garland, Texas",Senior Developer
104,Genuent,"Austin, Texas",Sr. Full Stack Java Developer Role
105,TriNet,"Austin, Texas",Staff ETL Developer
106,Visual Comfort & Co.,"Houston, Texas",NetSuite Administrator/Developer
107,Talascend Worldwide Technical Resources,"Houston, Texas",UX/UI Designer/Developer
108,R3PI,"Roanoke, Texas",Javascript Developer (Dallas)
109,Paladin Consulting,"Addison, Texas",UI CMS Developer
110,"D.R. Horton, Inc.","Fort Worth, Texas",CMS Web Developer
111,Axiometrics,"Dallas, Texas",Software Developer w/C# and Angular JS
112,EPAM Systems,"Austin, Texas",Network Specialist (Developer)
113,National Mortgage Field Services,"Garland, Texas",New Business Developer
114,Oportun,"Plano, Texas",ETL Developer
115,Paycor,"Frisco, Texas",Principal Software Engineer - UI
116,Aircraft Technical Publishers (ATP),"Austin, Texas",Team Lead/ .NET Developer
117,HYLA Mobile - Extending the Life Cycle of Mobile Devices,"Garland, Texas",Full Stack Senior Software Engineer
118,SWBC,"San Antonio, Texas",Etl Developer
119,"Brierley & Partners, Inc.","Plano, Texas",Full Stack Developer
120,"XTGlobal, Inc.","Dallas, Texas",Salesforce.com Developer
121,Sharp Decisions (Formerly CN-TEC),"Garland, Texas",Business Intelligence Developer
122,Exterran,"Houston, Texas",.Net Developer
123,Liquidity Services,"Plano, Texas",MS Full Stack Developer
124,TFS - Toyota Financial Services,"Dallas, Texas",Senior Treasury Systems Developer
125,"KellyMitchell Group, Inc","Fort Worth, Texas",Java Developer
126,ComCept,"Rockwall, Texas",UI/UX Developer - College
127,"Data Dynamics, Inc.","Houston, Texas","Senior Software Engineer, .Net"
128,Tarrant Regional Water District,"Fort Worth, Texas",Senior .NET Developer
129,Avanade,"Austin, Texas",Sitecore Developer
130,"netPolarity, Inc.","Austin, Texas",Backend Java Developer
131,Spiceworks,"Austin, Texas",Senior Software Developer
132,"JBKnowledge, Inc.","Bryan, Texas",R & D Developer (Research & Development)
133,GHG Corporation,"Webster, Texas",Sharepoint Developer
134,American Airlines,"Dallas, Texas",*Senior Data Warehouse Developer
135,"HUNTER Technical Resources, LLC","Frisco, Texas",Mobile Developer
136,Fujitsu,"Dallas, Texas",Salesforce Senior Developer - Dallas
137,Texas A&M University,"College Station, Texas","Software Applications Developer III - College Station, TX"
138,Aircraft Technical Publishers (ATP),"Austin, Texas",Team Lead/ .NET Developer
139,DISYS,"Dallas, Texas",Sr UI Developer
140,Hydrogen Group,"Houston, Texas",Coldfusion Developer
141,Sharp Decisions (Formerly CN-TEC),"Garland, Texas",Business Intelligence Developer
142,Retail Ready Career Center,"Garland, Texas",SalesForce Developer- Contract
143,TeamSoft Inc.,"Austin, Texas",Principal .NET Developer
144,reCareered.com,"Irving, Texas",Front End Web Application Developer w/ .Net and Agile Exp
145,ThoughtWorks,"Dallas, Texas",Senior Developer
146,"ObjectWin Technology, Inc.","Houston, Texas",Sr. WebMethods Developer
147,Federal Reserve Bank,"Dallas, Texas",Java/J2EE Developer - Distributed Apps
148,Bluewater Learning,"Dallas, Texas",SQL Developer
149,GATE Premier Solutions (GPS),"Houston, Texas",ITS Developer
150,Sonsoft Inc,"Plano, Texas",Androidv/ iOS Developer
151,Frost Bank,"San Antonio, Texas",Software Developer - Mobile Applications
152,Nielsen - US,"Dallas, Texas",Jr. Mobile Developer (iOS and/or Android)
153,AG Technologies,"Dallas, Texas",Software Engineer openings for OPT/GC/EAD
154,Worldwide Machinery,"Houston, Texas",Web Developer
155,Visual Comfort & Co.,"Houston, Texas",NetSuite Administrator/Developer
156,Education Service Center Region 13,"Austin, Texas",Systems Developer
157,Houston Independent School District (HISD),"Houston, Texas",Senior Applications Developer
158,Spring Branch ISD,"Houston, Texas",Applications Engineer/Software Developer - Technology Services (Half-Time)
159,Hilton,"Addison, Texas",Business Intelligence Developer Intern
160,WeBe Works,"San Marcos, Texas",Franchise Developer
161,"MHBT, a Marsh & McLennan Agency LLC company","Austin, Texas",Entry Level Data Warehouse Developer
162,"RJ Byrd Search Group, the #7 search firm in North Texas","Garland, Texas",Full Stack Developer
163,CAKE Corporation,"Austin, Texas",Javascript Developer
164,Global IT Service,"Round Rock, Texas",Sr. .NET Developer
165,"Global Enterprise Tech Resources, ...","Austin, Texas","Sr GIS Developer/Architect - Austin, TX"
166,C&T Information Technology,"Austin, Texas",Perl / Sybase Developer
167,Public Consulting Group,"Austin, Texas",Full Stack JavaScript Developer
168,"Primary Arms, LLC","Pearland, Texas","Web Developer (Pearland, TX)"
169,Weatherford,"Houston, Texas",Software Developer III
170,Cybersoft Technologies,"Houston, Texas",Software Developer Intern(Front End developer)
171,Camden Kelly Corporation,"Southlake, Texas","Web Developer – Optimize, share ideas, and get great benefits"
172,FCI,"Houston, Texas",Dynamics AX Developer
173,"Activesoft, Inc","Dallas, Texas",Oracle OAF/ADF Developer
174,Apple,"Dallas, Texas",Sr. Network Application Developer
175,INT Technologies,"Dallas, Texas",Sr. .Net Full Stack Developer
176,Praesidium,"Arlington, Texas",Software Programmer / Developer
177,"Reliance One, Inc.","Irving, Texas",Java Developer
178,Meeting Professionals International,"Garland, Texas",Senior Web Developer
179,placingIT,"Dallas, Texas",Senior .NET Developer - 655
180,Acxiom,"Austin, Texas",Software Developer
181,Broadaxis,"Dallas, Texas",Sr. Java “Front End” Developer
182,Hiring Ideas,"Dallas, Texas",Developer and Production Support - VC++
183,S&P Global Platts,"Houston, Texas",Senior Software Developer
184,Boral Branders,"Houston, Texas",Web Developer
185,"PenguinData Workforce Management, Inc","Irving, Texas",Software Developer
186,American National Insurance,"Galveston, Texas",BPM Developer
187,Riccione Resources,"Garland, Texas","Web Developer - Front-End, React.js, Redux, SASS"
188,National Oilwell Varco,"Houston, Texas",Junior Front End Developer
189,Pariveda Solutions,"Dallas, Texas",Fullstack Software Developer II
190,GTN Technical Staffing and Consulting,"Irving, Texas",Lead Cloud Application Developer w/ Azure
191,O'Neil Data Systems LLC,"Plano, Texas",Full Stack Web Developer
192,Koddi,"Fort Worth, Texas",PHP Engineer/Developer
193,Kapsch Traffic Com,"Austin, Texas","Database Developer, Junior"
194,Production Systems,"Midland, Texas",Senior Software Developer
195,Genie,"Dallas, Texas",Mobile APP Developer
196,C4 Technical Services,"Dallas, Texas",IVR Developer
197,Federal Reserve Bank (FRB),"Dallas, Texas",Data Integration Developer (entry level)
198,PARM Consultants,"Dallas, Texas",Sr. Java Developer
199,JBA International,"Dallas, Texas",GMC Developer
200,Cinsay Inc.,"Dallas, Texas",PHP Developer
201,"LEAM Drilling Systems, LLC","Conroe, Texas",Application Developer - Qt
202,"D.R. Horton, Inc.","Fort Worth, Texas",CMS Web Developer
203,NTT DATA,"Crystal City, Texas",Senior SharePoint Developer/Administrator
204,"Fulcrum Biometrics, LLC.","San Antonio, Texas",Software Developer / Architect - Senior
205,Starnik,"Lubbock, Texas",Software Developer
206,KUBRA,"Garland, Texas",Senior Developer
207,DEF-LOGIX INC,"San Antonio, Texas",Senior C Software Developer
208,SOAL Technologies,"Austin, Texas",Web Designer/Developer/Administrator
209,Jacobs,"Crystal City, Texas",SharePoint Developer
210,Dell,"Plano, Texas",Sharepoint Developer Sr. Advisor
211,Triquest Business Services,"San Antonio, Texas",.NET & Java Developer (SAP).
212,MATRIX Resources,"Plano, Texas",Salesforce Developer
213,ilumi,"Plano, Texas",Senior iOS Developer
214,"Phoenix Staff, Inc","Austin, Texas",Java Developer
215,Velvetjobs,"Austin, Texas",Software Developer Engineer in Test
216,Tribridge,"Dallas, Texas",Dynamics CRM Developer / Technical Architect
217,"Export Now, Inc.","Houston, Texas",Senior Software Developer
218,Infor,"Austin, Texas",Senior Java Developer
219,Comrise,"Fort Worth, Texas",Java Developer II
220,IntelliSoft Technologies,"Dallas, Texas",Senior Android Developer
221,Computer Futures,"Austin, Texas",Salesforce.com Consultant/Developer
222,"ActiveLED, Inc.","Georgetown, Texas",Web Developer
223,Apache,"Houston, Texas",Reporting and Analytics Developer
224,Kickbox.io,"Dallas, Texas",VP of Developer Marketing & Relations
225,CDI Corporation,"San Antonio, Texas",Application Developer(Java.Core)/PJJ
226,Xome,"Lewisville, Texas",Principal Software Developer
227,Primeritus Financial Services Inc,"Garland, Texas",Senior Software Developer
228,Brock Solutions,"Irving, Texas",Software Developer
229,GTS Technology Solutions,"Austin, Texas",Sharepoint Developer
230,Hewlett Packard Enterprise Company,"Plano, Texas",Linux System Software Developer
231,"Lorven Technologies, Inc","Irving, Texas",Java AWS Cloud Engineer/developer
232,Aetna,"Dallas, Texas",Programmer Developer - Aetna Medicaid Pharmacy Management
233,Newpark,"Katy, Texas",Web Developer
234,Shea Writing and Training Solutions,"Houston, Texas",eLearning and Training Materials Developer
235,The Reynolds and Reynolds Company,"College Station, Texas",Business Applications Developer
236,TFS - Toyota Financial Services,"Dallas, Texas",Senior Treasury Systems Developer
237,Visa,"Austin, Texas",Staff Documentum / Java Developer
238,"CoStar Realty Information, Inc.","Austin, Texas",Software Developer
239,Smartbridge,"Houston, Texas",Informatica ETL Developer 
240,24 Seven Inc.,"Austin, Texas",Technical Developer
241,eTouch Systems,"Houston, Texas",Qlikview Developer
242,Track5Media,"Austin, Texas",Sr. PHP Web Developer
243,BlueStream - Technology Services,"Richardson, Texas","Sr. Analyst/Developer (JAVA) III 6211573 Richardson, TX"
244,EPAM Systems,"Austin, Texas",Network Specialist (Developer)
245,Open Systems Technologies,"Irving, Texas",Sharepoint Developer
246,Selby Jennings,"Houston, Texas",Risk Java Developer For Investment Bank (190k+)
247,Cross Resource Group,"Fort Worth, Texas",ETL Developer
248,Capgemini,"Houston, Texas",Programmer/Developer Lead - ECM Documentum Developer
249,"XTGlobal, Inc.","Dallas, Texas",Salesforce.com Developer
250,Smartbridge,"Houston, Texas",Informatica ETL Developer 
251,24 Seven Inc.,"Austin, Texas",Technical Developer
252,eTouch Systems,"Houston, Texas",Qlikview Developer
253,Track5Media,"Austin, Texas",Sr. PHP Web Developer
254,BlueStream - Technology Services,"Richardson, Texas","Sr. Analyst/Developer (JAVA) III 6211573 Richardson, TX"
255,EPAM Systems,"Austin, Texas",Network Specialist (Developer)
256,Open Systems Technologies,"Irving, Texas",Sharepoint Developer
257,Selby Jennings,"Houston, Texas",Risk Java Developer For Investment Bank (190k+)
258,Cross Resource Group,"Fort Worth, Texas",ETL Developer
259,"XTGlobal, Inc.","Dallas, Texas",Salesforce.com Developer
260,Yodle,"Austin, Texas",Senior Front End Developer
261,Stratus Building Solutions,"Dallas, Texas",Regional Territory Developer - Master Franchise
262,HomeAway.com,"Austin, Texas",Salesforce Developer
263,CAKE (www.getcake.com),"Austin, Texas",Javascript Developer
264,InterActiveTel,"Houston, Texas",Lead iOS / Android Developer
265,Experienced Hire- US,"Plano, Texas",Shared Services Integration Developer
266,Sabre,"Southlake, Texas",Principal Operations Research Developer
267,PMAM Corporation,"Dallas, Texas",Senior Developer
268,Four Hands,"Austin, Texas",Product Developer
269,"CBRE, Inc.","Dallas, Texas",OpenStack Software Developer
270,CA Technologies,"Oakland, Texas",UI Developer
271,"Mercuria Energy America, Inc","Houston, Texas",Operations Developer
272,Kelly Services,"Houston, Texas",PHP Developer
273,"CompassLearning, Inc.","Austin, Texas",Integrations Developer
274,Texas Children's Hospital,"Houston, Texas",Senior Applications Developer - The Health Plan
275,Kelly Services,"Houston, Texas",PHP Developer
276,"CompassLearning, Inc.","Austin, Texas",Integrations Developer
277,Texas Children's Hospital,"Houston, Texas",Senior Applications Developer - The Health Plan
278,"Pioneer Natural Resources USA, Inc.","Irving, Texas",Lead IT Developer
279,Universal Weather and Aviation Inc.,"Houston, Texas",Sr. UI Developer
280,Endurance International Group,"Austin, Texas",Senior CSS Developer
281,Global Healthcare Alliance,"Houston, Texas",Healthcare Integration Developer
282,Ingenium Solutions LLC,"Dallas, Texas",SailPoint Developer
283,Grande Communications,"San Marcos, Texas",Web Developer
284,Gagemaker,"Pasadena, Texas",Software Developer
285,Pursuant,"Garland, Texas",PHP Application Developer
286,Proofpoint,"Austin, Texas",Senior Developer
287,Wirevibe,"Garland, Texas",Senior Java Developer
288,Verizon,"Irving, Texas",Senior Web Developer
289,Civitas Learning,"Austin, Texas",Content Developer
290,Amazon,"Dallas, Texas",ICQA Program Developer
291,Robert Half Technology,"Lewisville, Texas",PowerBuilder Maintenance Developer
292,CGI,"Belton, Texas",Entry-Level Application Developer- Campus Recruiting
293,Morson International,"Houston, Texas",Web Application Developer
294,CiraConnect,"Carrollton, Texas",Application Developer
295,Traction On Demand,"Houston, Texas",Salesforce.com Developer
296,Trend Micro,"Austin, Texas",Courseware Developer/Trainer
297,Recruiting Source Inc.,"Houston, Texas",QA Developer
298,"BDO USA, LLP","Houston, Texas","Full Stack Developer, MTAS"
299,Paladin,"Austin, Texas",SR. MOBILE APPLICATION DEVELOPER (Android)
300,"BDO USA, LLP","Houston, Texas","Full Stack Developer, MTAS"
301,Paladin,"Austin, Texas",SR. MOBILE APPLICATION DEVELOPER (Android)
302,Staffogen,"Garland, Texas",Junior Web Developer
303,Exterran,"Houston, Texas",.Net Developer
304,USBank,"Houston, Texas",Application Developer 4
305,Monkedia,"Garland, Texas",Full Stack Engineer / Developer
306,Kenexis,"Houston, Texas",Software Developer | Computer Engineer | Technologist
307,Solarwinds Inc.,"Austin, Texas",Senior Developer - Network Management
308,Raytheon RMS,"Mckinney, Texas",Operations Research Simulation Developer
309,The Judge Group,"Lewisville, Texas",Applications Developer
310,Lifeblue,"Garland, Texas",Interactive Developer - PHP
311,Trinity Industries,"Garland, Texas",JobScope/BPCS - AS/400 Developer
312,CB&I,"Spring, Texas",Business Objects Developer
313,"Custom Registration, Inc","Arlington, Texas",Lead .Net Developer
314,IBM,"Austin, Texas","Engineer/Developer, Operational Decision Management - IBM Consulting"
315,MoneyGram International,"Frisco, Texas",Senior iOS Developer
316,BrightView Landscapes,"Dallas, Texas",Business Developer
317,Neiman Marcus,"Irving, Texas",Lead Software Developer
318,Special Webs Co.,"Sachse, Texas",Wordpress web developer
319,Booz Allen Hamilton,"San Antonio, Texas",Information Assurance Software Developer
320,Spectraforce Technologies,"Fort Worth, Texas",Java Developer
321,Tonic3 Agency,"Irving, Texas",Front End Developer
322,Electronic Transaction Consultants,"Richardson, Texas",Senior Application Developer - Java
323,Rackspace,"San Antonio, Texas",Software Developer
324,Argus Media,"Houston, Texas",Excel VBA Developer
325,Electronic Transaction Consultants,"Richardson, Texas",Senior Application Developer - Java
326,Silicon Labs,"Austin, Texas",Senior Software Developer - Simplicity Studio Tool Development (Eclipse)
327,Mindlance,"Austin, Texas",Android developer
328,Rackspace,"San Antonio, Texas",Software Developer
329,Argus Media,"Houston, Texas",Excel VBA Developer
330,Cognizant,"Dallas, Texas",Fullstack java developer
331,Divvee,"San Antonio, Texas",Software Engineer (Intern to Hire)
332,Atlassian,"Austin, Texas",Principal Platform Developer
333,"Dealertrack, Inc.","Dallas, Texas",Web Developer
334,Pathway Partners,"Austin, Texas",Multimedia Instructional Designer / Training Video Developer
335,Hostway,"San Antonio, Texas",Web Developer
336,FloSports,"Austin, Texas",Senior PHP Developer
